1 	0.00	0.00	0.00
2 	0.00	0.00	0.00
3 	0.00	0.00	0.00
4 	0.25	0.11	0.15
5 	0.20	0.11	0.14
6 	0.33	0.22	0.27
7 	0.43	0.33	0.38
8 	0.50	0.44	0.47
9 	0.56	0.56	0.56
10	0.50	0.56	0.53
11	0.55	0.67	0.60
12	0.58	0.78	0.67
13	0.62	0.89	0.73
14	0.57	0.89	0.70
15	0.53	0.89	0.67
16	0.50	0.89	0.64
17	0.47	0.89	0.62
18	0.44	0.89	0.59
19	0.42	0.89	0.57
20	0.40	0.89	0.55
21	0.38	0.89	0.53
22	0.36	0.89	0.52
23	0.35	0.89	0.50
24	0.33	0.89	0.48
25	0.32	0.89	0.47
26	0.31	0.89	0.46
27	0.30	0.89	0.44
28	0.29	0.89	0.43
29	0.28	0.89	0.42
30	0.27	0.89	0.41
31	0.26	0.89	0.40
32	0.25	0.89	0.39
33	0.24	0.89	0.38
34	0.24	0.89	0.37
35	0.23	0.89	0.36
36	0.22	0.89	0.36
37	0.22	0.89	0.35
38	0.21	0.89	0.34
39	0.21	0.89	0.33
40	0.20	0.89	0.33
41	0.20	0.89	0.32
42	0.19	0.89	0.31
43	0.19	0.89	0.31
44	0.18	0.89	0.30
45	0.18	0.89	0.30
46	0.20	1.00	0.33
47	0.19	1.00	0.32
48	0.19	1.00	0.32
49	0.18	1.00	0.31
50	0.18	1.00	0.31
51	0.18	1.00	0.30
52	0.17	1.00	0.30
53	0.17	1.00	0.29
54	0.17	1.00	0.29
55	0.16	1.00	0.28
56	0.16	1.00	0.28
57	0.16	1.00	0.27
58	0.16	1.00	0.27
59	0.15	1.00	0.26
60	0.15	1.00	0.26
61	0.15	1.00	0.26
62	0.15	1.00	0.25
63	0.14	1.00	0.25
64	0.14	1.00	0.25
65	0.14	1.00	0.24
66	0.14	1.00	0.24
67	0.13	1.00	0.24
68	0.13	1.00	0.23
69	0.13	1.00	0.23
70	0.13	1.00	0.23
71	0.13	1.00	0.22
72	0.13	1.00	0.22
73	0.12	1.00	0.22
74	0.12	1.00	0.22
75	0.12	1.00	0.21
76	0.12	1.00	0.21
77	0.12	1.00	0.21
78	0.12	1.00	0.21
79	0.11	1.00	0.20
80	0.11	1.00	0.20
81	0.11	1.00	0.20
82	0.11	1.00	0.20
83	0.11	1.00	0.20
84	0.11	1.00	0.19
85	0.11	1.00	0.19
86	0.10	1.00	0.19
87	0.10	1.00	0.19
88	0.10	1.00	0.19
89	0.10	1.00	0.18
90	0.10	1.00	0.18
91	0.10	1.00	0.18
92	0.10	1.00	0.18
93	0.10	1.00	0.18
94	0.10	1.00	0.17
95	0.09	1.00	0.17
96	0.09	1.00	0.17
97	0.09	1.00	0.17
98	0.09	1.00	0.17
99	0.09	1.00	0.17
100	0.09	1.00	0.17
